TID,PID,x,y
1,1,489.573,447.684
1,2,497.427,451.611
1,3,506.59,454.229
1,4,515.753,452.92
1,5,523.607,447.684
1,6,528.843,437.212
1,7,531.461,430.667
1,8,534.079,422.813
1,9,538.006,416.268
1,10,539.315,412.341
1,11,540.624,405.796
1,12,541.933,400.559
1,13,541.933,392.705
1,14,541.933,387.469
1,15,547.169,378.306
1,16,557.642,371.761
1,17,565.496,365.216
1,18,573.35,359.98
1,19,585.131,352.126
1,20,594.294,348.199
1,21,603.457,341.654
1,22,613.929,341.654
1,23,623.092,339.036
1,24,632.256,337.727
1,25,644.037,337.727
1,26,653.2,335.109
1,27,666.29,335.109
1,28,672.835,335.109
1,29,685.925,331.182
1,30,695.088,327.254
1,31,705.561,325.945
1,32,717.342,324.636
1,33,727.814,322.018
1,34,736.977,322.018
1,35,744.831,324.636
1,36,755.303,322.018
1,37,763.157,318.091
1,38,774.939,316.782
1,39,786.72,315.473
1,40,784.102,307.619
1,41,781.484,302.383
1,42,776.248,299.765
1,43,769.702,298.456
1,44,764.466,297.147
1,45,756.612,294.529
1,46,752.685,293.22
1,47,742.213,293.22
1,48,735.668,289.293
1,49,726.505,287.984
1,50,716.033,287.984
1,51,708.179,290.602
1,52,701.634,291.911
1,53,689.852,290.602
1,54,674.144,287.984
1,55,667.599,287.984
1,56,658.436,286.675
1,57,646.655,284.057
1,58,633.565,284.057
1,59,624.401,276.203
1,60,617.856,269.658
1,64,603.457,265.731
2,28,280.13,581.204
2,29,273.585,581.204
2,30,264.422,583.822
2,31,257.877,583.822
2,32,251.331,585.131
2,33,242.168,586.44
2,34,235.623,590.367
2,35,229.078,591.676
2,36,219.915,592.985
2,37,214.679,591.676
2,38,206.825,592.985
2,39,197.662,591.676
2,40,184.572,590.367
2,41,179.335,590.367
2,42,163.627,592.985
2,43,155.773,594.294
2,44,151.846,590.367
2,45,150.537,583.822
2,46,154.464,577.277
2,47,163.627,581.204
2,48,172.79,583.822
2,49,180.644,595.603
2,50,192.426,602.148
2,51,201.589,606.075
2,52,215.988,613.929
2,53,227.769,615.238
2,54,239.55,615.238
2,55,252.64,610.002
2,56,267.04,610.002
2,57,281.439,606.075
2,58,291.911,600.839
2,59,310.237,602.148
2,60,322.018,592.985
2,61,333.8,592.985
2,62,348.199,591.676
2,63,361.289,587.749
2,64,376.997,583.822
2,65,388.778,586.44
2,66,400.559,581.204
2,67,405.796,582.513
2,68,407.105,586.44
2,69,404.487,594.294
2,70,394.014,600.839
2,71,382.233,607.384
2,72,370.452,615.238
2,73,353.435,611.311
2,74,345.581,619.165
2,75,328.563,621.783
2,76,314.164,623.092
2,77,299.765,617.856
2,78,287.984,620.474
2,79,274.894,617.856
2,80,256.567,612.62
2,81,246.095,608.693
2,82,229.078,607.384
2,83,217.297,603.457
2,84,202.898,599.53
2,85,192.426,599.53
2,86,181.953,600.839
2,87,163.627,591.676
2,89,146.61,589.058
3,34,354.744,716.033
3,35,357.362,722.578
3,36,366.525,723.887
3,37,371.761,725.196
3,38,376.997,730.432
3,39,383.542,738.286
3,40,386.16,743.522
3,41,390.087,748.758
3,42,392.705,759.23
3,43,396.632,764.466
3,44,401.868,769.702
3,45,409.723,772.321
3,46,414.959,774.939
3,47,420.195,776.248
3,48,428.049,774.939
3,49,437.212,768.393
3,50,443.757,764.466
3,51,455.538,761.848
3,52,466.01,765.775
3,53,479.101,768.393
3,54,486.955,764.466
3,55,496.118,768.393
3,56,506.59,768.393
3,57,511.826,765.775
3,58,523.607,774.939
3,59,531.461,778.866
3,60,538.006,778.866
3,61,548.478,780.175
3,62,558.951,780.175
3,63,569.423,780.175
3,64,578.586,781.484
3,65,587.749,780.175
3,66,599.53,786.72
3,67,608.693,785.411
3,68,619.165,789.338
3,69,627.02,789.338
3,70,641.419,789.338
3,71,653.2,794.574
3,72,661.054,794.574
3,73,667.599,795.883
3,74,668.908,794.574
3,75,666.29,788.029
3,76,659.745,782.793
3,77,657.127,780.175
3,78,653.2,774.939
3,79,642.728,771.011
3,80,640.11,767.084
3,81,630.947,764.466
3,82,625.711,756.612
3,83,623.092,748.758
3,84,619.165,734.359
3,85,616.547,729.123
3,86,620.474,718.651
3,87,617.856,713.415
3,88,613.929,699.016
3,89,610.002,687.234
3,90,612.62,679.38
3,91,613.929,674.144
3,92,607.384,666.29
3,93,603.457,655.818
3,95,600.839,647.964
4,22,446.375,691.161
4,23,448.993,695.088
4,24,459.465,693.779
4,25,468.628,695.088
4,26,469.937,691.161
4,27,477.791,691.161
4,28,472.555,695.088
4,29,471.246,692.47
4,30,463.392,692.47
4,31,454.229,692.47
4,32,447.684,692.47
4,33,441.139,695.088
4,34,438.521,692.47
4,35,431.976,689.852
4,36,424.122,685.925
4,37,426.74,679.38
4,38,435.903,674.144
4,39,443.757,671.526
4,40,452.92,666.29
4,41,460.774,662.363
4,42,472.555,661.054
4,43,476.482,653.2
4,44,481.719,658.436
4,45,492.191,658.436
4,46,498.736,659.745
4,47,502.663,662.363
4,48,513.135,658.436
4,49,520.989,657.127
4,50,531.461,661.054
4,51,544.551,664.981
4,52,551.096,666.29
4,53,556.333,671.526
4,54,562.878,670.217
4,55,569.423,675.453
4,56,579.895,674.144
4,57,587.749,675.453
4,58,596.912,674.144
4,59,606.075,670.217
4,60,616.547,672.835
4,61,623.092,675.453
4,62,621.783,678.071
4,63,615.238,680.689
4,64,604.766,678.071
4,65,598.221,674.144
4,66,586.44,668.908
4,67,579.895,663.672
4,68,573.35,661.054
4,69,564.187,657.127
4,70,553.715,651.891
4,71,545.86,644.037
4,72,540.624,644.037
4,73,536.697,636.183
4,74,532.77,629.638
4,75,522.298,620.474
4,76,511.826,613.929
4,77,507.899,612.62
4,78,503.972,602.148
4,79,488.264,600.839
4,80,484.337,599.53
4,81,472.555,595.603
4,85,463.392,586.44
5,48,379.615,191.117
5,49,388.778,191.117
5,50,399.25,191.117
5,51,408.414,187.19
5,52,414.959,184.572
5,53,421.504,183.262
5,54,425.431,179.335
5,55,433.285,175.408
5,56,438.521,171.481
5,57,450.302,168.863
5,58,456.847,166.245
5,59,468.628,161.009
5,60,481.719,161.009
5,61,490.882,159.7
5,62,501.354,157.082
5,63,517.062,155.773
5,64,526.225,153.155
5,65,534.079,153.155
5,66,544.551,150.537
5,67,555.024,149.228
5,68,562.878,145.301
5,69,570.732,146.61
5,70,581.204,147.919
5,71,587.749,150.537
5,72,592.985,147.919
5,73,604.766,151.846
5,74,613.929,157.082
5,75,620.474,159.7
5,76,632.256,159.7
5,77,637.492,161.009
5,78,649.273,161.009
5,79,655.818,159.7
5,80,662.363,158.391
5,81,666.29,153.155
5,82,671.526,146.61
5,83,681.998,134.829
5,84,700.325,126.975
5,85,709.488,117.812
5,86,726.505,112.576
5,87,734.359,99.485
5,88,730.432,99.485
5,89,721.269,99.485
5,90,710.797,99.485
5,91,689.852,99.485
5,92,680.689,102.103
5,93,672.835,100.794
5,94,662.363,107.339
5,95,657.127,112.576
5,96,645.346,104.721
5,97,637.492,106.03
5,98,630.947,106.03
5,99,620.474,104.721
5,100,610.002,100.794
5,101,599.53,100.794
5,102,586.44,100.794
5,103,570.732,96.867
5,104,558.951,96.867
5,105,548.478,98.176
5,106,535.388,99.485
5,107,519.68,104.721
5,109,507.899,109.957
6,75,692.47,293.22
6,76,697.706,294.529
6,77,706.87,290.602
6,78,708.179,290.602
6,79,717.342,287.984
6,80,719.96,284.057
6,81,727.814,286.675
6,82,734.359,287.984
6,83,743.522,282.748
6,84,748.758,281.439
6,85,753.994,278.821
6,86,761.848,282.748
6,87,767.084,276.203
6,88,773.63,274.894
6,89,778.866,270.967
6,90,786.72,265.731
6,91,794.574,270.967
6,92,805.046,274.894
6,93,815.518,277.512
6,94,822.063,281.439
6,95,829.917,281.439
6,96,840.389,282.748
6,97,849.553,286.675
6,98,862.643,285.366
6,99,869.188,291.911
6,100,879.66,291.911
6,101,891.441,289.293
6,102,899.295,287.984
6,103,908.458,286.675
6,104,920.24,285.366
6,105,928.094,278.821
6,106,941.184,277.512
6,107,954.274,278.821
6,108,958.201,281.439
6,109,968.673,285.366
6,110,981.763,284.057
6,111,990.926,286.675
6,112,1000.09,284.057
6,113,1013.18,282.748
6,114,1017.107,277.512
6,115,1011.871,277.512
6,116,1005.326,277.512
6,117,993.545,273.585
6,118,988.308,273.585
6,119,977.836,278.821
6,120,968.673,280.13
6,121,962.128,281.439
6,122,951.656,284.057
6,123,941.184,280.13
6,124,929.403,281.439
6,125,918.931,278.821
6,126,907.149,278.821
6,127,900.604,277.512
6,128,890.132,273.585
6,129,884.896,272.276
6,130,871.806,270.967
6,131,858.716,272.276
6,132,845.626,277.512
6,133,836.462,284.057
6,134,828.608,282.748
6,142,814.209,282.748
7,22,549.787,507.899
7,23,552.406,506.59
7,24,549.787,502.663
7,25,556.333,506.59
7,26,556.333,507.899
7,27,553.715,511.826
7,28,551.096,510.517
7,29,548.478,514.444
7,30,556.333,517.062
7,31,555.024,510.517
7,32,553.715,507.899
7,33,553.715,514.444
7,34,555.024,518.371
7,35,556.333,513.135
7,36,561.569,519.68
7,37,564.187,524.916
7,38,570.732,522.298
7,39,578.586,518.371
7,40,585.131,519.68
7,41,591.676,517.062
7,42,598.221,515.753
7,43,608.693,514.444
7,44,615.238,513.135
7,45,623.092,511.826
7,46,633.565,511.826
7,47,644.037,509.208
7,48,650.582,510.517
7,49,662.363,507.899
7,50,671.526,503.972
7,51,679.38,506.59
7,52,683.307,507.899
7,53,697.706,509.208
7,54,704.252,509.208
7,55,712.106,507.899
7,56,721.269,507.899
7,57,727.814,510.517
7,58,738.286,513.135
7,59,744.831,514.444
7,60,756.612,513.135
7,61,759.23,513.135
7,62,760.539,514.444
7,63,761.848,517.062
7,64,760.539,518.371
7,65,751.376,514.444
7,66,746.14,511.826
7,67,736.977,509.208
7,68,722.578,507.899
7,69,714.724,509.208
7,70,705.561,511.826
7,71,692.47,506.59
7,72,689.852,507.899
7,73,675.453,509.208
7,74,662.363,506.59
7,75,649.273,502.663
7,76,632.256,502.663
7,77,613.929,497.427
7,78,607.384,497.427
7,79,590.367,494.809
7,80,579.895,496.118
7,81,569.423,500.045
7,83,557.642,496.118
8,1,318.091,231.696
8,2,324.636,226.46
8,3,332.491,227.769
8,4,339.036,219.915
8,5,342.963,210.752
8,6,350.817,205.516
8,7,361.289,196.353
8,8,365.216,192.426
8,9,370.452,185.881
8,10,374.379,176.717
8,11,378.306,167.554
8,12,387.469,166.245
8,13,388.778,155.773
8,14,388.778,147.919
8,15,395.323,134.829
8,16,408.414,130.902
8,17,414.959,124.357
8,18,420.195,121.739
8,19,428.049,120.43
8,20,437.212,121.739
8,21,446.375,125.666
8,22,452.92,120.43
8,23,462.083,121.739
8,24,469.937,117.812
8,25,483.028,120.43
8,26,493.5,120.43
8,27,505.281,120.43
8,28,513.135,123.048
8,29,517.062,120.43
8,30,532.77,119.121
8,31,544.551,115.194
8,32,555.024,112.576
8,33,564.187,112.576
8,34,573.35,111.267
8,35,579.895,108.648
8,36,587.749,104.721
8,37,594.294,103.412
8,38,607.384,99.485
8,39,612.62,95.558
8,40,616.547,92.94
8,41,611.311,96.867
8,42,603.457,95.558
8,43,590.367,94.249
8,44,578.586,100.794
8,45,577.277,107.339
8,46,566.805,111.267
8,47,560.26,111.267
8,48,555.024,111.267
8,49,544.551,111.267
8,50,536.697,108.648
8,51,526.225,108.648
8,52,514.444,111.267
8,53,503.972,115.194
8,54,494.809,117.812
8,55,484.337,121.739
8,56,479.101,121.739
8,57,466.01,125.666
8,58,460.774,132.211
8,59,452.92,136.138
8,60,445.066,130.902
8,64,431.976,129.593
9,46,339.036,543.242
9,47,333.8,539.315
9,48,333.8,528.843
9,49,329.872,520.989
9,50,328.563,517.062
9,51,323.327,511.826
9,52,320.709,506.59
9,53,308.928,501.354
9,54,308.928,494.809
9,55,306.31,492.191
9,56,305.001,490.882
9,57,299.765,493.5
9,58,301.074,496.118
9,59,305.001,497.427
9,60,297.147,498.736
9,61,294.529,492.191
9,62,294.529,485.646
9,63,297.147,483.028
9,64,306.31,477.791
9,65,315.473,481.719
9,66,319.4,480.41
9,67,329.872,476.482
9,68,341.654,476.482
9,69,352.126,473.864
9,70,362.598,477.791
9,71,374.379,475.173
9,72,380.924,477.791
9,73,392.705,479.101
9,74,404.487,475.173
9,75,414.959,475.173
9,76,425.431,477.791
9,77,431.976,475.173
9,78,442.448,475.173
9,79,452.92,472.555
9,80,462.083,475.173
9,81,473.864,473.864
9,82,481.719,471.246
9,83,490.882,471.246
9,84,497.427,472.555
9,85,506.59,471.246
9,86,507.899,473.864
9,87,505.281,467.319
9,88,493.5,466.01
9,89,481.719,466.01
9,90,467.319,464.701
9,91,456.847,466.01
9,92,451.611,472.555
9,93,441.139,472.555
9,94,426.74,473.864
9,95,420.195,471.246
9,96,408.414,468.628
9,97,400.559,472.555
9,98,390.087,472.555
9,99,380.924,473.864
9,100,373.07,476.482
9,101,367.834,479.101
9,102,361.289,476.482
9,103,356.053,475.173
9,104,349.508,475.173
9,105,342.963,475.173
9,107,329.872,475.173
10,1,661.054,595.603
10,2,646.655,591.676
10,3,634.874,590.367
10,4,621.783,590.367
10,5,613.929,585.131
10,6,602.148,581.204
10,7,586.44,577.277
10,8,578.586,579.895
10,9,562.878,581.204
10,10,558.951,586.44
10,11,558.951,587.749
10,12,562.878,590.367
10,13,560.26,600.839
10,14,565.496,610.002
10,15,565.496,610.002
10,16,568.114,599.53
10,17,568.114,591.676
10,18,575.968,581.204
10,19,591.676,575.968
10,20,606.075,575.968
10,21,617.856,578.586
10,22,627.02,585.131
10,23,644.037,587.749
10,24,657.127,589.058
10,25,664.981,590.367
10,26,680.689,589.058
10,27,688.543,590.367
10,28,701.634,590.367
10,29,716.033,589.058
10,30,727.814,587.749
10,31,738.286,587.749
10,32,755.303,589.058
10,33,769.702,589.058
10,34,785.411,590.367
10,35,793.265,591.676
10,36,807.664,595.603
10,37,818.136,595.603
10,38,833.844,590.367
10,39,841.698,587.749
10,40,841.698,579.895
10,41,837.771,570.732
10,42,823.372,560.26
10,43,808.973,560.26
10,44,795.883,564.187
10,45,785.411,565.496
10,46,774.939,566.805
10,47,759.23,573.35
10,48,750.067,579.895
10,49,736.977,583.822
10,50,725.196,583.822
10,51,710.797,587.749
10,52,704.252,585.131
10,53,689.852,581.204
10,54,674.144,578.586
10,55,659.745,574.659
10,56,646.655,570.732
10,57,636.183,565.496
10,58,623.092,557.642
10,59,607.384,558.951
10,60,592.985,557.642
10,62,574.659,556.333
11,13,852.171,348.199
11,14,849.553,341.654
11,15,841.698,339.036
11,16,832.535,333.8
11,17,824.681,327.254
11,18,818.136,325.945
11,19,810.282,319.4
11,20,807.664,312.855
11,21,798.501,311.546
11,22,793.265,303.692
11,23,789.338,303.692
11,24,782.793,298.456
11,25,774.939,295.838
11,26,774.939,293.22
11,27,765.775,291.911
11,28,757.921,286.675
11,29,756.612,281.439
11,30,760.539,274.894
11,31,767.084,268.349
11,32,772.321,259.186
11,33,772.321,247.404
11,34,774.939,242.168
11,35,784.102,227.769
11,36,797.192,217.297
11,37,794.574,206.825
11,38,807.664,200.28
11,39,814.209,185.881
11,40,822.063,175.408
11,41,833.844,170.172
11,42,837.771,161.009
11,43,853.48,154.464
11,44,863.952,155.773
11,45,877.042,158.391
11,46,886.205,162.318
11,47,903.222,164.936
11,48,915.003,168.863
11,49,926.785,166.245
11,50,934.639,167.554
11,51,945.111,166.245
11,52,949.038,171.481
11,53,949.038,167.554
11,54,949.038,162.318
11,55,945.111,153.155
11,56,937.257,147.919
11,57,928.094,137.447
11,58,913.694,136.138
11,59,904.531,136.138
11,60,887.514,133.52
11,61,879.66,134.829
11,62,866.57,133.52
11,63,852.171,129.593
11,64,848.244,133.52
11,65,837.771,130.902
11,66,829.917,128.284
11,67,816.827,126.975
11,68,811.591,125.666
11,69,799.81,126.975
11,70,788.029,121.739
11,71,774.939,121.739
11,72,767.084,121.739
11,75,756.612,123.048
12,1,794.574,411.032
12,2,789.338,403.177
12,3,784.102,395.323
12,4,780.175,387.469
12,5,774.939,382.233
12,6,771.011,374.379
12,7,774.939,367.834
12,8,772.321,363.907
12,9,768.393,359.98
12,10,764.466,356.053
12,11,760.539,348.199
12,12,761.848,344.272
12,13,760.539,341.654
12,14,755.303,339.036
12,15,755.303,328.563
12,16,751.376,323.327
12,17,752.685,311.546
12,18,753.994,310.237
12,19,763.157,303.692
12,20,772.321,301.074
12,21,774.939,289.293
12,22,778.866,276.203
12,23,789.338,265.731
12,24,791.956,261.804
12,25,805.046,263.113
12,26,816.827,261.804
12,27,827.299,261.804
12,28,840.389,260.495
12,29,854.789,259.186
12,30,869.188,253.949
12,31,877.042,243.477
12,32,883.587,233.005
12,33,895.368,229.078
12,34,903.222,221.224
12,35,918.931,205.516
12,36,929.403,208.134
12,37,941.184,202.898
12,38,958.201,202.898
12,39,967.364,202.898
12,40,973.909,205.516
12,41,976.527,204.207
12,42,976.527,200.28
12,43,971.291,193.735
12,44,962.128,197.662
12,45,939.875,196.353
12,46,929.403,192.426
12,47,921.549,193.735
12,48,899.295,185.881
12,49,890.132,183.262
12,50,884.896,176.717
12,51,869.188,172.79
12,52,857.407,172.79
12,53,845.626,171.481
12,54,835.153,168.863
12,55,819.445,166.245
12,56,802.428,167.554
12,57,788.029,168.863
12,58,776.248,166.245
12,59,763.157,162.318
12,60,743.522,162.318
12,63,738.286,161.009
13,71,615.238,683.307
13,72,615.238,692.47
13,73,621.783,697.706
13,74,630.947,706.87
13,75,634.874,710.797
13,76,642.728,714.724
13,77,655.818,718.651
13,78,667.599,725.196
13,79,675.453,727.814
13,80,684.616,735.668
13,81,692.47,743.522
13,82,701.634,753.994
13,83,705.561,759.23
13,84,713.415,760.539
13,85,726.505,767.084
13,86,738.286,769.702
13,87,746.14,772.321
13,88,755.303,768.393
13,89,769.702,765.775
13,90,780.175,759.23
13,91,788.029,751.376
13,92,797.192,747.449
13,93,810.282,742.213
13,94,818.136,736.977
13,95,828.608,731.741
13,96,843.007,722.578
13,97,852.171,718.651
13,98,861.334,709.488
13,99,869.188,700.325
13,100,884.896,700.325
13,101,894.059,699.016
13,102,905.84,696.397
13,103,918.931,696.397
13,104,932.021,695.088
13,105,942.493,700.325
13,106,955.583,699.016
13,107,971.291,697.706
13,108,983.072,699.016
13,109,996.163,702.943
13,110,1004.017,699.016
13,111,1006.635,691.161
13,112,1007.944,689.852
13,113,1000.09,678.071
13,114,988.308,668.908
13,115,976.527,663.672
13,116,963.437,661.054
13,117,952.965,661.054
13,118,943.802,649.273
13,119,934.639,645.346
13,120,920.24,641.419
13,121,911.076,636.183
13,122,896.677,628.329
13,123,887.514,623.092
13,124,875.733,611.311
13,125,867.879,594.294
13,126,853.48,592.985
13,127,845.626,591.676
13,128,837.771,590.367
13,129,822.063,589.058
13,130,806.355,589.058
13,132,791.956,587.749
14,1,781.484,726.505
14,2,780.175,738.286
14,3,772.321,747.449
14,4,767.084,757.921
14,5,759.23,765.775
14,6,752.685,763.157
14,7,744.831,755.303
14,8,744.831,743.522
14,9,744.831,733.05
14,10,753.994,727.814
14,11,764.466,727.814
14,12,776.248,733.05
